,id,example,description
176,paragraph,Faker().paragraph(),"Generate a paragraph.

The ``nb_sentences`` argument controls how many sentences the paragraph
will contain, and setting ``variable_nb_sentences`` to ``False`` will
generate the exact amount, while setting it to ``True`` (default) will
generate a random amount (+/-40%, minimum of 1) using
|randomize_nb_elements|.

Under the hood, |sentences| is used to generate the sentences, so the
argument ``ext_word_list`` works in the same way here as it would in
that method.

:sample: nb_sentences=5
:sample: nb_sentences=5, variable_nb_sentences=False
:sample: nb_sentences=5, ext_word_list=['abc', 'def', 'ghi', 'jkl']
:sample: nb_sentences=5, variable_nb_sentences=False,
         ext_word_list=['abc', 'def', 'ghi', 'jkl']"
177,paragraphs,Faker().paragraphs(),"Generate a list of paragraphs.

This method uses |paragraph| under the hood to generate paragraphs, and
the ``nb`` argument controls exactly how many sentences the list will
contain. The ``ext_word_list`` argument works in exactly the same way
as well.

:sample: nb=5
:sample: nb=5, ext_word_list=['abc', 'def', 'ghi', 'jkl']"
178,parse,Faker().parse(),"Replaces tokens like '{{ tokenName }}' or '{{tokenName}}' in a string with
the result from the token method call. Arguments can be parsed by using an
argument group. For more information on the use of argument groups, please
refer to the set_arguments() method.

Example:

generator.set_arguments('red_rgb', {'hue': 'red', 'color_format': 'rgb'})
generator.set_arguments('small', 'max_value', 10)

generator.parse('{{ color:red_rgb }} - {{ pyint:small }}')"
179,passport_dates,Faker().passport_dates(),"Generates a formatted date of birth, issue, and expiration dates.
issue and expiration dates are conditioned to fall within U.S. standards of 5 and 10 year expirations


The ``birthday`` argument is a datetime.date object representing a date of birth.

Sources:

-https://travel.state.gov/content/travel/en/passports/passport-help/faqs.html"
180,passport_dob,Faker().passport_dob(),Generate a datetime date of birth.
181,passport_full,Faker().passport_full(),Generates a formatted sting with US Passport information
182,passport_gender,Faker().passport_gender(),"Generates a string representing the gender displayed on a passport

Sources:

- https://williamsinstitute.law.ucla.edu/publications/x-gender-markers-passports/"
183,passport_number,Faker().passport_number(),Generate a passport number by replacing tokens to be alphanumeric
184,passport_owner,Faker().passport_owner(),"Generate a given_name and surname for a passport owner
The ``gender`` argument is the gender marker of a passport owner, which is a one character string
that is either male, female, or non-binary."
185,password,Faker().password(),"Generate a random password of the specified ``length``.

The arguments ``special_chars``, ``digits``, ``upper_case``, and ``lower_case`` control
what category of characters will appear in the generated password. If set to ``True``
(default), at least one character from the corresponding category is guaranteed to appear.
Special characters are characters from ``!@#$%^&*()_+``, digits are characters from
``0123456789``, and uppercase and lowercase characters are characters from the ASCII set of
letters.

:sample: length=12
:sample: length=40, special_chars=False, upper_case=False"
186,past_date,Faker().past_date(),"Get a Date object based on a random date between a given date and 1 day
ago.
Accepts date strings that can be recognized by strtotime().

:param start_date: Defaults to ""-30d""
:param tzinfo: timezone, instance of datetime.tzinfo subclass
:example: dtdate('1999-02-02')
:return: dtdate"
187,past_datetime,Faker().past_datetime(),"Get a datetime object based on a random date between a given date and 1
second ago.
Accepts date strings that can be recognized by strtotime().

:param start_date: Defaults to ""-30d""
:param tzinfo: timezone, instance of datetime.tzinfo subclass
:example: datetime('1999-02-02 11:42:52')
:return: datetime"
188,phone_number,Faker().phone_number(),No docstring available
189,port_number,Faker().port_number(),"Returns a network port number
https://tools.ietf.org/html/rfc6335

:param is_system: System or well-known ports
:param is_user: User or registered ports
:param is_dynamic: Dynamic / private / ephemeral ports
:rtype: int"
190,postalcode,Faker().postalcode(),No docstring available
191,postalcode_in_state,Faker().postalcode_in_state(),No docstring available
192,postalcode_plus4,Faker().postalcode_plus4(),No docstring available
193,postcode,Faker().postcode(),:example: 86039-9874
194,postcode_in_state,Faker().postcode_in_state(),":returns: A random postcode within the provided state abbreviation

:param state_abbr: A state abbreviation"
195,prefix,Faker().prefix(),No docstring available
196,prefix_female,Faker().prefix_female(),No docstring available
197,prefix_male,Faker().prefix_male(),No docstring available
198,prefix_nonbinary,Faker().prefix_nonbinary(),No docstring available
199,pricetag,Faker().pricetag(),No docstring available
200,profile,Faker().profile(),"Generates a complete profile.
If ""fields"" is not empty, only the fields in the list will be returned"
201,provider,Faker().provider(),No docstring available
202,psv,Faker().psv(),"Generate random pipe-separated values.

For more information on the different arguments of this method, please refer to
:meth:`dsv() <faker.providers.misc.Provider.dsv>` which is used under the hood.

:sample: data_columns=('{{name}}', '{{address}}'), num_rows=10, include_row_ids=False
:sample: header=('Name', 'Address', 'Favorite Color'),
        data_columns=('{{name}}', '{{address}}', '{{safe_color_name}}'),
        num_rows=10, include_row_ids=True"
203,pybool,Faker().pybool(),"Generates a random boolean, optionally biased towards `True` or `False`.

:truth_probability: Probability of generating a `True` value. Must be between `0` and `100` inclusive'.
:return: Random boolean.
:raises ValueError: If invalid `truth_probability` is provided."
204,pydecimal,Faker().pydecimal(),No docstring available
205,pydict,Faker().pydict(),"Returns a dictionary.

:nb_elements: number of elements for dictionary
:variable_nb_elements: is use variable number of elements for dictionary
:value_types: type of dictionary values"
206,pyfloat,Faker().pyfloat(),No docstring available
207,pyint,Faker().pyint(),No docstring available
208,pyiterable,Faker().pyiterable(),No docstring available
209,pylist,Faker().pylist(),No docstring available
210,pyobject,Faker().pyobject(),"Generates a random object passing the type desired.

:object_type: the type of the object to generate.
:return: the random object generated.
:raises ValueError: if the object type passed is not supported"
211,pyset,Faker().pyset(),No docstring available
212,pystr,Faker().pystr(),"Generates a random string of upper and lowercase letters.

:param min_chars: minimum length of the random part.
:param max_chars: maximum length of the random part.
:param prefix: an optional prefix to prepend to the random string.
:param suffix: an optional suffix to append to the random string.
:return: Random of random length between min and max characters."
213,pystr_format,Faker().pystr_format(),No docstring available
214,pystruct,Faker().pystruct(),No docstring available
215,pytimezone,Faker().pytimezone(),"Generate a random timezone (see `faker.timezone` for any args)
and return as a python object usable as a `tzinfo` to `datetime`
or other fakers.

:example: faker.pytimezone()
:return: dateutil.tz.tz.tzfile"
216,pytuple,Faker().pytuple(),No docstring available
217,random_choices,Faker().random_choices(),"Generate a list of objects randomly sampled from ``elements`` with replacement.

For information on the ``elements`` and ``length`` arguments, please refer to
:meth:`random_elements() <faker.providers.BaseProvider.random_elements>` which
is used under the hood with the ``unique`` argument explicitly set to ``False``.

:sample: elements=('a', 'b', 'c', 'd')
:sample: elements=('a', 'b', 'c', 'd'), length=10
:sample: elements=OrderedDict([
             (""a"", 0.45),
             (""b"", 0.35),
             (""c"", 0.15),
             (""d"", 0.05),
         ])
:sample: elements=OrderedDict([
             (""a"", 0.45),
             (""b"", 0.35),
             (""c"", 0.15),
             (""d"", 0.05),
         ]), length=20"
218,random_digit,Faker().random_digit(),Generate a random digit (0 to 9).
219,random_digit_above_two,Faker().random_digit_above_two(),Generate a random digit above value two (2 to 9).
220,random_digit_not_null,Faker().random_digit_not_null(),Generate a random non-zero digit (1 to 9).
221,random_digit_not_null_or_empty,Faker().random_digit_not_null_or_empty(),"Generate a random non-zero digit (1 to 9) or an empty string.

This method will return an empty string 50% of the time,
and each digit has a 1/18 chance of being generated."
222,random_digit_or_empty,Faker().random_digit_or_empty(),"Generate a random digit (0 to 9) or an empty string.

This method will return an empty string 50% of the time,
and each digit has a 1/20 chance of being generated."
223,random_element,Faker().random_element(),"Generate a randomly sampled object from ``elements``.

For information on the ``elements`` argument, please refer to
:meth:`random_elements() <faker.providers.BaseProvider.random_elements>` which
is used under the hood with the ``unique`` argument set to ``False`` and the
``length`` argument set to ``1``.

:sample: elements=('a', 'b', 'c', 'd')
:sample size=10: elements=OrderedDict([
             (""a"", 0.45),
             (""b"", 0.35),
             (""c"", 0.15),
             (""d"", 0.05),
         ])"
224,random_elements,Faker().random_elements(),"Generate a list of randomly sampled objects from ``elements``.

Set ``unique`` to ``False`` for random sampling with replacement, and set ``unique`` to
``True`` for random sampling without replacement.

If ``length`` is set to ``None`` or is omitted, ``length`` will be set to a random
integer from 1 to the size of ``elements``.

The value of ``length`` cannot be greater than the number of objects
in ``elements`` if ``unique`` is set to ``True``.

The value of ``elements`` can be any sequence type (``list``, ``tuple``, ``set``,
``string``, etc) or an ``OrderedDict`` type. If it is the latter, the keys will be
used as the objects for sampling, and the values will be used as weighted probabilities
if ``unique`` is set to ``False``. For example:

.. code-block:: python

    # Random sampling with replacement
    fake.random_elements(
        elements=OrderedDict([
            (""variable_1"", 0.5),        # Generates ""variable_1"" 50% of the time
            (""variable_2"", 0.2),        # Generates ""variable_2"" 20% of the time
            (""variable_3"", 0.2),        # Generates ""variable_3"" 20% of the time
            (""variable_4"": 0.1),        # Generates ""variable_4"" 10% of the time
        ]), unique=False
    )

    # Random sampling without replacement (defaults to uniform distribution)
    fake.random_elements(
        elements=OrderedDict([
            (""variable_1"", 0.5),
            (""variable_2"", 0.2),
            (""variable_3"", 0.2),
            (""variable_4"": 0.1),
        ]), unique=True
    )

:sample: elements=('a', 'b', 'c', 'd'), unique=False
:sample: elements=('a', 'b', 'c', 'd'), unique=True
:sample: elements=('a', 'b', 'c', 'd'), length=10, unique=False
:sample: elements=('a', 'b', 'c', 'd'), length=4, unique=True
:sample: elements=OrderedDict([
                (""a"", 0.45),
                (""b"", 0.35),
               (""c"", 0.15),
               (""d"", 0.05),
           ]), length=20, unique=False
:sample: elements=OrderedDict([
               (""a"", 0.45),
               (""b"", 0.35),
               (""c"", 0.15),
               (""d"", 0.05),
           ]), unique=True"
225,random_int,Faker().random_int(),"Generate a random integer between two integers ``min`` and ``max`` inclusive
while observing the provided ``step`` value.

This method is functionally equivalent to randomly sampling an integer
from the sequence ``range(min, max + 1, step)``.

:sample: min=0, max=15
:sample: min=0, max=15, step=3"
226,random_letter,Faker().random_letter(),Generate a random ASCII letter (a-z and A-Z).
227,random_letters,Faker().random_letters(),"Generate a list of random ASCII letters (a-z and A-Z) of the specified ``length``.

:sample: length=10"
228,random_lowercase_letter,Faker().random_lowercase_letter(),Generate a random lowercase ASCII letter (a-z).
229,random_number,Faker().random_number(),"Generate a random integer according to the following rules:

- If ``digits`` is ``None`` (default), its value will be set to a random
  integer from 1 to 9.
- If ``fix_len`` is ``False`` (default), all integers that do not exceed
  the number of ``digits`` can be generated.
- If ``fix_len`` is ``True``, only integers with the exact number of
  ``digits`` can be generated.

:sample: fix_len=False
:sample: fix_len=True
:sample: digits=3
:sample: digits=3, fix_len=False
:sample: digits=3, fix_len=True"
230,random_sample,Faker().random_sample(),"Generate a list of objects randomly sampled from ``elements`` without replacement.

For information on the ``elements`` and ``length`` arguments, please refer to
:meth:`random_elements() <faker.providers.BaseProvider.random_elements>` which
is used under the hood with the ``unique`` argument explicitly set to ``True``.

:sample: elements=('a', 'b', 'c', 'd', 'e', 'f')
:sample: elements=('a', 'b', 'c', 'd', 'e', 'f'), length=3"
231,random_uppercase_letter,Faker().random_uppercase_letter(),Generate a random uppercase ASCII letter (A-Z).
232,randomize_nb_elements,Faker().randomize_nb_elements(),"Generate a random integer near ``number`` according to the following rules:

- If ``le`` is ``False`` (default), allow generation up to 140% of ``number``.
  If ``True``, upper bound generation is capped at 100%.
- If ``ge`` is ``False`` (default), allow generation down to 60% of ``number``.
  If ``True``, lower bound generation is capped at 100%.
- If a numerical value for ``min`` is provided, generated values less than ``min``
  will be clamped at ``min``.
- If a numerical value for ``max`` is provided, generated values greater than
  ``max`` will be clamped at ``max``.
- If both ``le`` and ``ge`` are ``True``, the value of ``number`` will automatically
  be returned, regardless of the values supplied for ``min`` and ``max``.

:sample: number=100
:sample: number=100, ge=True
:sample: number=100, ge=True, min=120
:sample: number=100, le=True
:sample: number=100, le=True, max=80
:sample: number=79, le=True, ge=True, min=80"
233,rgb_color,Faker().rgb_color(),Generate a color formatted as a comma-separated RGB value.
234,rgb_css_color,Faker().rgb_css_color(),Generate a color formatted as a CSS rgb() function.
235,ripe_id,Faker().ripe_id(),"Returns RIPE Organization ID
https://www.ripe.net/manage-ips-and-asns/db/support/organisation-object-in-the-ripe-database

:rtype: str"
236,safari,Faker().safari(),Generate a Safari web browser user agent string.
237,safe_color_name,Faker().safe_color_name(),Generate a web-safe color name.
238,safe_domain_name,Faker().safe_domain_name(),No docstring available
239,safe_email,Faker().safe_email(),No docstring available
240,safe_hex_color,Faker().safe_hex_color(),Generate a web-safe color formatted as a hex triplet.
241,sbn9,Faker().sbn9(),No docstring available
242,secondary_address,Faker().secondary_address(),No docstring available
243,seed_instance,Faker().seed_instance(),"Creates and seeds a new `random.Random` object for each factory

:param seed: seed value"
244,seed_locale,Faker().seed_locale(),"Creates and seeds a new `random.Random` object for the factory of the specified locale

:param locale: locale string
:param seed: seed value"
245,sentence,Faker().sentence(),"Generate a sentence.

The ``nb_words`` argument controls how many words the sentence will
contain, and setting ``variable_nb_words`` to ``False`` will generate
the exact amount, while setting it to ``True`` (default) will generate
a random amount (+/-40%, minimum of 1) using |randomize_nb_elements|.

Under the hood, |words| is used to generate the words, so the argument
``ext_word_list`` works in the same way here as it would in that method.

:sample: nb_words=10
:sample: nb_words=10, variable_nb_words=False
:sample: nb_words=10, ext_word_list=['abc', 'def', 'ghi', 'jkl']
:sample: nb_words=10, variable_nb_words=True,
         ext_word_list=['abc', 'def', 'ghi', 'jkl']"
246,sentences,Faker().sentences(),"Generate a list of sentences.

This method uses |sentence| under the hood to generate sentences, and
the ``nb`` argument controls exactly how many sentences the list will
contain. The ``ext_word_list`` argument works in exactly the same way
as well.

:sample:
:sample: nb=5
:sample: nb=5, ext_word_list=['abc', 'def', 'ghi', 'jkl']"
247,set_arguments,Faker().set_arguments(),"Creates an argument group, with an individual argument or a dictionary
of arguments. The argument groups is used to apply arguments to tokens,
when using the generator.parse() method. To further manage argument
groups, use get_arguments() and del_arguments() methods.

generator.set_arguments('small', 'max_value', 10)
generator.set_arguments('small', {'min_value': 5, 'max_value': 10})"
248,set_formatter,Faker().set_formatter(),"This method adds a provider method to generator.
Override this method to add some decoration or logging stuff."
249,sha1,Faker().sha1(),"Generate a random SHA-1 hash.

If ``raw_output`` is ``False`` (default), a hexadecimal string representation of the SHA-1 hash
will be returned. If ``True``, a ``bytes`` object representation will be returned instead.

:sample: raw_output=False
:sample: raw_output=True"
250,sha256,Faker().sha256(),"Generate a random SHA-256 hash.

If ``raw_output`` is ``False`` (default), a hexadecimal string representation of the SHA-256 hash
will be returned. If ``True``, a ``bytes`` object representation will be returned instead.

:sample: raw_output=False
:sample: raw_output=True"
251,simple_profile,Faker().simple_profile(),Generates a basic profile with personal informations
252,slug,Faker().slug(),Django algorithm
253,ssn,Faker().ssn(),"Generate a random United States Taxpayer Identification Number of the specified type.

If no type is specified, a US SSN is returned."
254,state,Faker().state(),No docstring available
255,state_abbr,Faker().state_abbr(),":returns: A random two-letter USPS postal code

By default, the resulting code may abbreviate any of the fifty states,
five US territories, or three freely-associating sovereign states.

:param include_territories: If True, territories will be included.
    If False, US territories will be excluded.
:param include_freely_associated_states: If True, freely-associated states will be included.
    If False, sovereign states in free association with the US will be excluded."
256,street_address,Faker().street_address(),:example: '791 Crist Parks'
257,street_name,Faker().street_name(),:example: 'Crist Parks'
258,street_suffix,Faker().street_suffix(),:example: 'Avenue'
259,suffix,Faker().suffix(),No docstring available
260,suffix_female,Faker().suffix_female(),No docstring available
261,suffix_male,Faker().suffix_male(),No docstring available
262,suffix_nonbinary,Faker().suffix_nonbinary(),No docstring available
263,swift,Faker().swift(),"Generate a SWIFT code.

SWIFT codes, reading from left to right, are composed of a 4 alphabet
character bank code, a 2 alphabet character country code, a 2
alphanumeric location code, and an optional 3 alphanumeric branch code.
This means SWIFT codes can only have 8 or 11 characters, so the value of
``length`` can only be ``None`` or the integers ``8`` or ``11``. If the
value is ``None``, then a value of ``8`` or ``11`` will randomly be
assigned.

Because all 8-digit SWIFT codes already refer to the primary branch or
office, the ``primary`` argument only has an effect if the value of
``length`` is ``11``. If ``primary`` is ``True`` and ``length`` is
``11``, the 11-digit SWIFT codes generated will always end in ``'XXX'``
to denote that they belong to primary branches/offices.

For extra authenticity, localized providers may opt to include SWIFT
bank codes, location codes, and branch codes used in their respective
locales. If ``use_dataset`` is ``True``, this method will generate SWIFT
codes based on those locale-specific codes if included. If those codes
were not included, then it will behave as if ``use_dataset`` were
``False``, and in that mode, all those codes will just be randomly
generated as per the specification.

:sample:
:sample: length=8
:sample: length=8, use_dataset=True
:sample: length=11
:sample: length=11, primary=True
:sample: length=11, use_dataset=True
:sample: length=11, primary=True, use_dataset=True"
264,swift11,Faker().swift11(),"Generate an 11-digit SWIFT code.

This method uses |swift| under the hood with the ``length`` argument set
to ``11``. If ``primary`` is set to ``True``, the SWIFT code will always
end with ``'XXX'``. All 11-digit SWIFT codes use this convention to
refer to the primary branch/office.

:sample:
:sample: use_dataset=True"
265,swift8,Faker().swift8(),"Generate an 8-digit SWIFT code.

This method uses |swift| under the hood with the ``length`` argument set
to ``8`` and with the ``primary`` argument omitted. All 8-digit SWIFT
codes already refer to the primary branch/office.

:sample:
:sample: use_dataset=True"
267,text,Faker().text(),"Generate a text string.

The ``max_nb_chars`` argument controls the approximate number of
characters the text string will have, and depending on its value, this
method may use either |words|, |sentences|, or |paragraphs| for text
generation. The ``ext_word_list`` argument works in exactly the same way
it would in any of those methods.

:sample: max_nb_chars=20
:sample: max_nb_chars=80
:sample: max_nb_chars=160
:sample: ext_word_list=['abc', 'def', 'ghi', 'jkl']"
268,texts,Faker().texts(),"Generate a list of text strings.

The ``nb_texts`` argument controls how many text strings the list will
contain, and this method uses |text| under the hood for text generation,
so the two remaining arguments, ``max_nb_chars`` and ``ext_word_list``
will work in exactly the same way as well.

:sample: nb_texts=5
:sample: nb_texts=5, max_nb_chars=50
:sample: nb_texts=5, max_nb_chars=50,
         ext_word_list=['abc', 'def', 'ghi', 'jkl']"
269,time,Faker().time(),"Get a time string (24h format by default)

:param pattern: format
:example: '15:02:34'"
270,time_delta,Faker().time_delta(),Get a timedelta object
271,time_object,Faker().time_object(),"Get a time object

:example: datetime.time(15, 56, 56, 772876)"
272,time_series,Faker().time_series(),"Returns a generator yielding tuples of ``(<datetime>, <value>)``.

The data points will start at ``start_date``, and be at every time interval specified by
``precision``.
``distrib`` is a callable that accepts ``<datetime>`` and returns ``<value>``"
273,timezone,Faker().timezone(),No docstring available
274,tld,Faker().tld(),No docstring available
276,unix_device,Faker().unix_device(),"Generate a Unix device file name.

If ``prefix`` is ``None``, a random prefix will be used. The list of
valid prefixes include: ``'sd'``, ``'vd'``, and ``'xvd'``.

:sample:
:sample: prefix='mmcblk'"
277,unix_partition,Faker().unix_partition(),"Generate a Unix partition name.

This method uses |unix_device| under the hood to create a device file
name with the specified ``prefix``.

:sample:
:sample: prefix='mmcblk'"
278,unix_time,Faker().unix_time(),"Get a timestamp between January 1, 1970 and now, unless passed
explicit start_datetime or end_datetime values.

On Windows, the decimal part is always 0.

:example: 1061306726.6"
279,upc_a,Faker().upc_a(),"Generate a 12-digit UPC-A barcode.

The value of ``upc_ae_mode`` controls how barcodes will be generated. If
``False`` (default), barcodes are not guaranteed to have a UPC-E
equivalent. In this mode, the method uses |EnUsBarcodeProvider.ean13|
under the hood, and the values of ``base`` and ``number_system_digit``
will be ignored.

If ``upc_ae_mode`` is ``True``, the resulting barcodes are guaranteed to
have a UPC-E equivalent, and the values of ``base`` and
``number_system_digit`` will be used to control what is generated.

Under this mode, ``base`` is expected to have a 6-digit string value. If
any other value is supplied, a random 6-digit string will be used
instead. As for ``number_system_digit``, the expected value is a ``0``
or a ``1``. If any other value is provided, this method will randomly
choose from the two.

.. important::
   When ``upc_ae_mode`` is enabled, you might encounter instances where
   different values of ``base`` (e.g. ``'120003'`` and ``'120004'``)
   produce the same UPC-A barcode. This is normal, and the reason lies
   within the whole conversion process. To learn more about this and
   what ``base`` and ``number_system_digit`` actually represent, please
   refer to |EnUsBarcodeProvider.upc_e|.

:sample:
:sample: upc_ae_mode=True, number_system_digit=0
:sample: upc_ae_mode=True, number_system_digit=1
:sample: upc_ae_mode=True, base='123456', number_system_digit=0
:sample: upc_ae_mode=True, base='120003', number_system_digit=0
:sample: upc_ae_mode=True, base='120004', number_system_digit=0"
280,upc_e,Faker().upc_e(),"Generate an 8-digit UPC-E barcode.

UPC-E barcodes can be expressed in 6, 7, or 8-digit formats, but this
method uses the 8 digit format, since it is trivial to convert to the
other two formats. The first digit (starting from the left) is
controlled by ``number_system_digit``, and it can only be a ``0`` or a
``1``. The last digit is the check digit that is inherited from the
UPC-E barcode's UPC-A equivalent. The middle six digits are collectively
referred to as the ``base`` (for a lack of a better term).

On that note, this method uses ``base`` and ``number_system_digit`` to
first generate a UPC-A barcode for the check digit, and what happens
next depends on the value of ``safe_mode``. The argument ``safe_mode``
exists, because there are some UPC-E values that share the same UPC-A
equivalent. For example, any UPC-E barcode of the form ``abc0000d``,
``abc0003d``, and ``abc0004d`` share the same UPC-A value
``abc00000000d``, but that UPC-A value will only convert to ``abc0000d``
because of (a) how UPC-E is just a zero-suppressed version of UPC-A and
(b) the rules around the conversion.

If ``safe_mode`` is ``True`` (default), this method performs another set
of conversions to guarantee that the UPC-E barcodes generated can be
converted to UPC-A, and that UPC-A barcode can be converted back to the
original UPC-E barcode. Using the example above, even if the bases
``120003`` or ``120004`` are used, the resulting UPC-E barcode will
always use the base ``120000``.

If ``safe_mode`` is ``False``, then the ``number_system_digit``,
``base``, and the computed check digit will just be concatenated
together to produce the UPC-E barcode, and attempting to convert the
barcode to UPC-A and back again to UPC-E will exhibit the behavior
described above.

:sample:
:sample: base='123456'
:sample: base='123456', number_system_digit=0
:sample: base='123456', number_system_digit=1
:sample: base='120000', number_system_digit=0
:sample: base='120003', number_system_digit=0
:sample: base='120004', number_system_digit=0
:sample: base='120000', number_system_digit=0, safe_mode=False
:sample: base='120003', number_system_digit=0, safe_mode=False
:sample: base='120004', number_system_digit=0, safe_mode=False"
281,uri,Faker().uri(),":param schemes: a list of strings to use as schemes, one will chosen randomly.
    If None, it will generate http and https uris.
    Passing an empty list will result in schemeless uri generation like ""://domain.com/index.html"".
:param deep: an integer specifying how many path components the URI should have..
:return: a random url string."
282,uri_extension,Faker().uri_extension(),No docstring available
283,uri_page,Faker().uri_page(),No docstring available
284,uri_path,Faker().uri_path(),No docstring available
285,url,Faker().url(),":param schemes: a list of strings to use as schemes, one will chosen randomly.
    If None, it will generate http and https urls.
    Passing an empty list will result in schemeless url generation like ""://domain.com"".
:return: a random url string."
286,user_agent,Faker().user_agent(),Generate a random web browser user agent string.
287,user_name,Faker().user_name(),No docstring available
288,uuid4,Faker().uuid4(),"Generate a random UUID4 object and cast it to another type if specified using a callable ``cast_to``.

By default, ``cast_to`` is set to ``str``.

May be called with ``cast_to=None`` to return a full-fledged ``UUID``.

:sample:
:sample: cast_to=None"
289,vin,Faker().vin(),Generate vin number.
290,windows_platform_token,Faker().windows_platform_token(),Generate a Windows platform token used in user agent strings.
291,word,Faker().word(),"Generate a word.

This method uses |words| under the hood with the ``nb`` argument set to
``1`` to generate the result.

:sample:
:sample: ext_word_list=['abc', 'def', 'ghi', 'jkl']"
292,words,Faker().words(),"Generate a tuple of words.

The ``nb`` argument controls the number of words in the resulting list,
and if ``ext_word_list`` is provided, words from that list will be used
instead of those from the locale provider's built-in word list.

If ``unique`` is ``True``, this method will return a list containing
unique words. Under the hood, |random_sample| will be used for sampling
without replacement. If ``unique`` is ``False``, |random_choices| is
used instead, and the list returned may contain duplicates.

``part_of_speech`` is a parameter that defines to what part of speech
the returned word belongs. If ``ext_word_list`` is not ``None``, then
``part_of_speech`` is ignored. If the value of ``part_of_speech`` does
not correspond to an existent part of speech according to the set locale,
then an exception is raised.

.. warning::
   Depending on the length of a locale provider's built-in word list or
   on the length of ``ext_word_list`` if provided, a large ``nb`` can
   exhaust said lists if ``unique`` is ``True``, raising an exception.

:sample:
:sample: nb=5
:sample: nb=5, ext_word_list=['abc', 'def', 'ghi', 'jkl']
:sample: nb=4, ext_word_list=['abc', 'def', 'ghi', 'jkl'], unique=True"
293,xml,Faker().xml(),"Returns some XML.

:nb_elements: number of elements for dictionary
:variable_nb_elements: is use variable number of elements for dictionary
:value_types: type of dictionary values

Note: this provider required xmltodict library installed"
294,year,Faker().year(),No docstring available
296,zipcode,Faker().zipcode(),No docstring available
297,zipcode_in_state,Faker().zipcode_in_state(),No docstring available
298,zipcode_plus4,Faker().zipcode_plus4(),No docstring available
